identifier,name,type,data_type
aida-item:PER.ProfessionalPosition,"en:""aida-item:PER.ProfessionalPosition""",Item,
aida-item:VEH.Aircraft,"en:""aida-item:VEH.Aircraft""",Item,
aida-item:PER.Protester.ProtestLeader,"en:""aida-item:PER.Protester.ProtestLeader""",Item,
aida-item:CRM.ViolentCrime.Terrorism,"en:""aida-item:CRM.ViolentCrime.Terrorism""",Item,
aida-item:Conflict.Yield,"en:""aida-item:Conflict.Yield""",Item,
aida-item:COM.Document,"en:""aida-item:COM.Document""",Item,
aida-item:PER.ProfessionalPosition.Scientist,"en:""aida-item:PER.ProfessionalPosition.Scientist""",Item,
aida-item:PersonalSocial.Unspecified,"en:""aida-item:PersonalSocial.Unspecified""",Item,
aida-item:PER.Politician,"en:""aida-item:PER.Politician""",Item,
aida-item:Contact.ThreatenCoerce,"en:""aida-item:Contact.ThreatenCoerce""",Item,
aida-property:GeneralAffiliation.Sponsorship_Sponsor,"en:""aida-property:GeneralAffiliation.Sponsorship_Sponsor""",Property,aida-property-type:Item
aida-item:WEA.Cannon.Cannon,"en:""aida-item:WEA.Cannon.Cannon""",Item,
aida-item:SID.Religious.Religious,"en:""aida-item:SID.Religious.Religious""",Item,
aida-item:WEA.MissileSystem.Missile,"en:""aida-item:WEA.MissileSystem.Missile""",Item,
aida-item:Contact.CommitmentPromiseExpressIntent,"en:""aida-item:Contact.CommitmentPromiseExpressIntent""",Item,
aida-item:Transaction.TransferOwnership,"en:""aida-item:Transaction.TransferOwnership""",Item,
aida-item:ORG.CommercialOrganization,"en:""aida-item:ORG.CommercialOrganization""",Item,
aida-item:SID.Sports.Sports,"en:""aida-item:SID.Sports.Sports""",Item,
aida-item:ORG.PoliticalOrganization.Court,"en:""aida-item:ORG.PoliticalOrganization.Court""",Item,
aida-item:Inspection.SensoryObserve.InspectPeopleOrganization,"en:""aida-item:Inspection.SensoryObserve.InspectPeopleOrganization""",Item,
aida-item:Contact.Discussion.Meet,"en:""aida-item:Contact.Discussion.Meet""",Item,
aida-property:OrganizationAffiliation.Leadership.Government_GovernmentBodyOrGPE,"en:""aida-property:OrganizationAffiliation.Leadership.Government_GovernmentBodyOrGPE""",Property,aida-property-type:Item
aida-item:FAC.Installation.MilitaryInstallation,"en:""aida-item:FAC.Installation.MilitaryInstallation""",Item,
aida-item:ORG.Association.Club,"en:""aida-item:ORG.Association.Club""",Item,
aida-item:PER.Police.ChiefOfPolice,"en:""aida-item:PER.Police.ChiefOfPolice""",Item,
aida-item:VEH.MilitaryVehicle.MilitaryTransportAircraft,"en:""aida-item:VEH.MilitaryVehicle.MilitaryTransportAircraft""",Item,
aida-property-type:dataType,"en:""aida-property-type:dataType""",Property,aida-property-type:Item
aida-item:Measurement.Size.HeightLengthWidth,"en:""aida-item:Measurement.Size.HeightLengthWidth""",Item,
aida-item:Personnel.EndPosition.QuitRetire,"en:""aida-item:Personnel.EndPosition.QuitRetire""",Item,
aida-item:Personnel.EndPosition,"en:""aida-item:Personnel.EndPosition""",Item,
aida-property:Evaluate.Deliberateness.Accidental_Event,"en:""aida-property:Evaluate.Deliberateness.Accidental_Event""",Property,aida-property-type:Item
aida-item:CRM.PoliticalCrime.AbuseOfOffice,"en:""aida-item:CRM.PoliticalCrime.AbuseOfOffice""",Item,
aida-property:OrganizationAffiliation.Leadership_Organization,"en:""aida-property:OrganizationAffiliation.Leadership_Organization""",Property,aida-property-type:Item
aida-item:VEH.MilitaryVehicle.FighterAircraft,"en:""aida-item:VEH.MilitaryVehicle.FighterAircraft""",Item,
aida-item:PER.ProfessionalPosition.Spy,"en:""aida-item:PER.ProfessionalPosition.Spy""",Item,
aida-item:Transaction.TransferMoney.BorrowLend,"en:""aida-item:Transaction.TransferMoney.BorrowLend""",Item,
aida-item:VEH.Aircraft.Airplane,"en:""aida-item:VEH.Aircraft.Airplane""",Item,
aida-item:Contact.FuneralVigil.Meet,"en:""aida-item:Contact.FuneralVigil.Meet""",Item,
aida-item:PER.ProfessionalPosition.Journalist,"en:""aida-item:PER.ProfessionalPosition.Journalist""",Item,
aida-item:Contact.Prevarication.Broadcast,"en:""aida-item:Contact.Prevarication.Broadcast""",Item,
aida-property:OrganizationAffiliation.Leadership_Leader,"en:""aida-property:OrganizationAffiliation.Leadership_Leader""",Property,aida-property-type:Item
aida-property-type:DateTime,"en:""aida-property-type:DateTime""",Item,
aida-item:Contact.CommitmentPromiseExpressIntent.Correspondence,"en:""aida-item:Contact.CommitmentPromiseExpressIntent.Correspondence""",Item,
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller""",Property,aida-property-type:Item
aida-item:Justice.Investigate,"en:""aida-item:Justice.Investigate""",Item,
aida-property:ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible,"en:""aida-property:ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible""",Property,aida-property-type:Item
aida-item:WEA.Bullets,"en:""aida-item:WEA.Bullets""",Item,
aida-item:ORG.CommercialOrganization.Corporation,"en:""aida-item:ORG.CommercialOrganization.Corporation""",Item,
aida-item:COM.Flag.Flag,"en:""aida-item:COM.Flag.Flag""",Item,
aida-item:LOC.Position.Field,"en:""aida-item:LOC.Position.Field""",Item,
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Artifact,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Artifact""",Property,aida-property-type:Item
aida-item:Conflict.Yield.Surrender,"en:""aida-item:Conflict.Yield.Surrender""",Item,
aida-property:Measurement.Size.Count_EntityOrFiller,"en:""aida-property:Measurement.Size.Count_EntityOrFiller""",Property,aida-property-type:Item
aida-item:OrganizationAffiliation.EmploymentMembership,"en:""aida-item:OrganizationAffiliation.EmploymentMembership""",Item,
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_Person,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_Person""",Property,aida-property-type:Item
aida-item:COM.Equipment,"en:""aida-item:COM.Equipment""",Item,
aida-item:Movement.TransportArtifact.PreventEntry,"en:""aida-item:Movement.TransportArtifact.PreventEntry""",Item,
aida-item:Life.Die.NonviolentDeath,"en:""aida-item:Life.Die.NonviolentDeath""",Item,
aida-item:PER.Politician.Mayor,"en:""aida-item:PER.Politician.Mayor""",Item,
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Person,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Person""",Property,aida-property-type:Item
aida-item:FAC.Building.GovernmentBuilding,"en:""aida-item:FAC.Building.GovernmentBuilding""",Item,
aida-item:ORG.PoliticalOrganization,"en:""aida-item:ORG.PoliticalOrganization""",Item,
aida-property:Information.Make.Make_Brand,"en:""aida-property:Information.Make.Make_Brand""",Property,aida-property-type:Item
aida-item:RES.NumberPercentageVotes.NumberPercentageVotes,"en:""aida-item:RES.NumberPercentageVotes.NumberPercentageVotes""",Item,
aida-property:Measurement.Size.HeightLengthWidth_EntityOrFiller,"en:""aida-property:Measurement.Size.HeightLengthWidth_EntityOrFiller""",Property,aida-property-type:Item
aida-item:PartWhole.Subsidiary.NationalityCitizen,"en:""aida-item:PartWhole.Subsidiary.NationalityCitizen""",Item,
aida-item:PER.Combatant,"en:""aida-item:PER.Combatant""",Item,
aida-item:Movement.TransportPerson.EvacuationRescue,"en:""aida-item:Movement.TransportPerson.EvacuationRescue""",Item,
aida-item:Government.Formation.StartGPE,"en:""aida-item:Government.Formation.StartGPE""",Item,
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Artifact,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Artifact""",Property,aida-property-type:Item
aida-item:ORG.Government.Agency,"en:""aida-item:ORG.Government.Agency""",Item,
aida-item:FAC.Installation.TrainStation,"en:""aida-item:FAC.Installation.TrainStation""",Item,
aida-item:WEA.Bullets.Ammunition,"en:""aida-item:WEA.Bullets.Ammunition""",Item,
aida-item:VEH.Rocket.Rocket,"en:""aida-item:VEH.Rocket.Rocket""",Item,
aida-property:Evaluate.Legitimacy.Illegitimate_Event,"en:""aida-property:Evaluate.Legitimacy.Illegitimate_Event""",Property,aida-property-type:Item
aida-item:RES.TurnoutVoters.TurnoutVoters,"en:""aida-item:RES.TurnoutVoters.TurnoutVoters""",Item,
aida-item:Life.Injure.IllnessDegradationPhysical,"en:""aida-item:Life.Injure.IllnessDegradationPhysical""",Item,
aida-item:WEA.ThrownProjectile,"en:""aida-item:WEA.ThrownProjectile""",Item,
aida-item:ORG.CriminalOrganization.CriminalOrganization,"en:""aida-item:ORG.CriminalOrganization.CriminalOrganization""",Item,
aida-item:PER.Fan.SportsFan,"en:""aida-item:PER.Fan.SportsFan""",Item,
aida-property:Evaluate.Sentiment.Positive_Holder,"en:""aida-property:Evaluate.Sentiment.Positive_Holder""",Property,aida-property-type:Item
aida-property:PersonalSocial.Role.TitleFormOfAddress_Title,"en:""aida-property:PersonalSocial.Role.TitleFormOfAddress_Title""",Property,aida-property-type:Item
aida-item:BAL.PaperBallot.PaperBallot,"en:""aida-item:BAL.PaperBallot.PaperBallot""",Item,
aida-item:Inspection.SensoryObserve.MonitorElection,"en:""aida-item:Inspection.SensoryObserve.MonitorElection""",Item,
aida-item:GPE.UrbanArea.City,"en:""aida-item:GPE.UrbanArea.City""",Item,
aida-item:PER.ProfessionalPosition.Spokesperson,"en:""aida-item:PER.ProfessionalPosition.Spokesperson""",Item,
aida-property:PartWhole.Subsidiary.NationalityCitizen_Subsidiary,"en:""aida-property:PartWhole.Subsidiary.NationalityCitizen_Subsidiary""",Property,aida-property-type:Item
aida-item:GeneralAffiliation.Sponsorship.AdvisePlanOrganize,"en:""aida-item:GeneralAffiliation.Sponsorship.AdvisePlanOrganize""",Item,
aida-item:TTL,,Item,
aida-item:Transaction.Transaction.TransferControl,"en:""aida-item:Transaction.Transaction.TransferControl""",Item,
aida-item:OrganizationAffiliation.EmploymentMembership.Employment,"en:""aida-item:OrganizationAffiliation.EmploymentMembership.Employment""",Item,
aida-item:GPE.ProvinceState.ProvinceState,"en:""aida-item:GPE.ProvinceState.ProvinceState""",Item,
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization,"en:""aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization""",Property,aida-property-type:Item
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen,"en:""aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen""",Item,
aida-item:GeneralAffiliation.Sponsorship,"en:""aida-item:GeneralAffiliation.Sponsorship""",Item,
aida-item:Contact.CommitmentPromiseExpressIntent.Meet,"en:""aida-item:Contact.CommitmentPromiseExpressIntent.Meet""",Item,
aida-property:OrganizationAffiliation.Founder.Founder_Organization,"en:""aida-property:OrganizationAffiliation.Founder.Founder_Organization""",Property,aida-property-type:Item
aida-property:Measurement.Size.Count_Measurement,"en:""aida-property:Measurement.Size.Count_Measurement""",Property,aida-property-type:Item
aida-item:WEA.Gun.Firearm,"en:""aida-item:WEA.Gun.Firearm""",Item,
aida-item:ORG.Government.LegislativeBody,"en:""aida-item:ORG.Government.LegislativeBody""",Item,
aida-item:Contact.FuneralVigil,"en:""aida-item:Contact.FuneralVigil""",Item,
aida-item:Movement.TransportPerson,"en:""aida-item:Movement.TransportPerson""",Item,
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Citizen,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Citizen""",Property,aida-property-type:Item
aida-item:SID.Cultural.Cultural,"en:""aida-item:SID.Cultural.Cultural""",Item,
aida-item:Measurement.Size,"en:""aida-item:Measurement.Size""",Item,
aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen,"en:""aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen""",Item,
aida-item:ORG.Government,"en:""aida-item:ORG.Government""",Item,
aida-item:CRM.BehaviorCrime,"en:""aida-item:CRM.BehaviorCrime""",Item,
aida-item:Government.Agreements.ViolateAgreement,"en:""aida-item:Government.Agreements.ViolateAgreement""",Item,
aida-item:FAC.Installation.Airport,"en:""aida-item:FAC.Installation.Airport""",Item,
aida-item:ORG.International.MonitoringGroup,"en:""aida-item:ORG.International.MonitoringGroup""",Item,
aida-property:Physical.LocatedNear.Surround_Place,"en:""aida-property:Physical.LocatedNear.Surround_Place""",Property,aida-property-type:Item
aida-item:PER.Politician.HeadOfGovernment,"en:""aida-item:PER.Politician.HeadOfGovernment""",Item,
aida-item:Personnel.Elect,"en:""aida-item:Personnel.Elect""",Item,
aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_MilitaryPoliceORG,"en:""aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_MilitaryPoliceORG""",Property,aida-property-type:Item
aida-item:GPE,"en:""aida-item:GPE""",Item,
aida-item:Movement.TransportArtifact.SendSupplyExport,"en:""aida-item:Movement.TransportArtifact.SendSupplyExport""",Item,
aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_ActorOrEvent,"en:""aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_ActorOrEvent""",Property,aida-property-type:Item
aida-item:VEH.WheeledVehicle,"en:""aida-item:VEH.WheeledVehicle""",Item,
aida-item:FAC.GeographicalArea.Border,"en:""aida-item:FAC.GeographicalArea.Border""",Item,
aida-item:Transaction.Transaction,"en:""aida-item:Transaction.Transaction""",Item,
aida-item:LAW,"en:""aida-item:LAW""",Item,
aida-item:Contact.CommandOrder,"en:""aida-item:Contact.CommandOrder""",Item,
aida-item:Contact.ThreatenCoerce.Correspondence,"en:""aida-item:Contact.ThreatenCoerce.Correspondence""",Item,
aida-item:RES,"en:""aida-item:RES""",Item,
aida-item:FAC.Building.OfficeBuilding,"en:""aida-item:FAC.Building.OfficeBuilding""",Item,
aida-item:Contact.MediaStatement,"en:""aida-item:Contact.MediaStatement""",Item,
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity,"en:""aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity""",Item,
aida-item:LAW.Referendum.Referendum,"en:""aida-item:LAW.Referendum.Referendum""",Item,
aida-item:ArtifactExistence.DamageDestroy.Destroy,"en:""aida-item:ArtifactExistence.DamageDestroy.Destroy""",Item,
aida-property:GeneralAffiliation.OrganizationWebsite.OrganizationWebsite_Website,"en:""aida-property:GeneralAffiliation.OrganizationWebsite.OrganizationWebsite_Website""",Property,aida-property-type:Item
aida-item:GPE.UrbanArea.Village,"en:""aida-item:GPE.UrbanArea.Village""",Item,
aida-item:Manufacture.Artifact,"en:""aida-item:Manufacture.Artifact""",Item,
aida-property:Information.Make.Make_EntityOrFiller,"en:""aida-property:Information.Make.Make_EntityOrFiller""",Property,aida-property-type:Item
aida-item:ArtifactExistence.DamageDestroy,"en:""aida-item:ArtifactExistence.DamageDestroy""",Item,
aida-property:OrganizationAffiliation.Founder.Founder_Founder,"en:""aida-property:OrganizationAffiliation.Founder.Founder_Founder""",Property,aida-property-type:Item
aida-item:WEA.Gas.PoisonGas,"en:""aida-item:WEA.Gas.PoisonGas""",Item,
aida-item:MON.Cash.Cash,"en:""aida-item:MON.Cash.Cash""",Item,
aida-item:Contact.Collaborate.Meet,"en:""aida-item:Contact.Collaborate.Meet""",Item,
aida-item:VEH.Aircraft.Helicopter,"en:""aida-item:VEH.Aircraft.Helicopter""",Item,
aida-item:FAC.Way,"en:""aida-item:FAC.Way""",Item,
aida-item:COM.Wreckage.Wreckage,"en:""aida-item:COM.Wreckage.Wreckage""",Item,
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity,"en:""aida-item:GeneralAffiliation.MemberOriginReligionEthnicity""",Item,
aida-item:ORG.Government.LawEnforcementAgency,"en:""aida-item:ORG.Government.LawEnforcementAgency""",Item,
aida-item:OrganizationAffiliation.Leadership.Government,"en:""aida-item:OrganizationAffiliation.Leadership.Government""",Item,
aida-item:COM.Document.PersonalIdentification,"en:""aida-item:COM.Document.PersonalIdentification""",Item,
aida-item:Transaction.Transaction.EmbargoSanction,"en:""aida-item:Transaction.Transaction.EmbargoSanction""",Item,
aida-item:Contact.RequestAdvise.Broadcast,"en:""aida-item:Contact.RequestAdvise.Broadcast""",Item,
aida-item:ORG.Government.Railway,"en:""aida-item:ORG.Government.Railway""",Item,
aida-item:COM.Document.Map,"en:""aida-item:COM.Document.Map""",Item,
aida-item:WEA,"en:""aida-item:WEA""",Item,
aida-item:PersonalSocial.Unspecified.Political,"en:""aida-item:PersonalSocial.Unspecified.Political""",Item,
aida-item:Movement.TransportPerson.GrantEntryAsylum,"en:""aida-item:Movement.TransportPerson.GrantEntryAsylum""",Item,
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Ethnicity,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Ethnicity""",Property,aida-property-type:Item
aida-property:GeneralAffiliation.Sponsorship_ActorOrEvent,"en:""aida-property:GeneralAffiliation.Sponsorship_ActorOrEvent""",Property,aida-property-type:Item
aida-item:ORG.Government.FireDepartment,"en:""aida-item:ORG.Government.FireDepartment""",Item,
aida-property:Evaluate.Deliberateness.Deliberate_Event,"en:""aida-property:Evaluate.Deliberateness.Deliberate_Event""",Property,aida-property-type:Item
aida-item:ORG.International.Commission,"en:""aida-item:ORG.International.Commission""",Item,
aida-item:Government.Vote,"en:""aida-item:Government.Vote""",Item,
aida-item:LOC.Land,"en:""aida-item:LOC.Land""",Item,
aida-item:PER.Police,"en:""aida-item:PER.Police""",Item,
aida-item:Transaction.TransferMoney.PayForService,"en:""aida-item:Transaction.TransferMoney.PayForService""",Item,
aida-property:Measurement.Size.Percentage_Measurement,"en:""aida-property:Measurement.Size.Percentage_Measurement""",Property,aida-property-type:Item
aida-item:Contact.ThreatenCoerce.Meet,"en:""aida-item:Contact.ThreatenCoerce.Meet""",Item,
aida-item:VEH.Watercraft.Yacht,"en:""aida-item:VEH.Watercraft.Yacht""",Item,
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Owner,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Owner""",Property,aida-property-type:Item
aida-property:start,,Property,aida-property-type:DateTime
aida-item:LOC.Land.Continent,"en:""aida-item:LOC.Land.Continent""",Item,
aida-item:ORG.CommercialOrganization.BroadcastingCompany,"en:""aida-item:ORG.CommercialOrganization.BroadcastingCompany""",Item,
aida-item:PER.MilitaryPersonnel.MilitaryOfficer,"en:""aida-item:PER.MilitaryPersonnel.MilitaryOfficer""",Item,
aida-item:Measurement.Size.Count,"en:""aida-item:Measurement.Size.Count""",Item,
aida-item:ORG.International,"en:""aida-item:ORG.International""",Item,
aida-item:Conflict.Attack.Stabbing,"en:""aida-item:Conflict.Attack.Stabbing""",Item,
aida-item:ORG.PoliticalOrganization.Party,"en:""aida-item:ORG.PoliticalOrganization.Party""",Item,
aida-item:Conflict.Attack.Invade,"en:""aida-item:Conflict.Attack.Invade""",Item,
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Territory,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Territory""",Property,aida-property-type:Item
aida-item:FAC.Building,"en:""aida-item:FAC.Building""",Item,
aida-item:WEA.MissileSystem.SurfaceToAirMissile,"en:""aida-item:WEA.MissileSystem.SurfaceToAirMissile""",Item,
aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_Leader,"en:""aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_Leader""",Property,aida-property-type:Item
aida-item:ORG.CommercialOrganization.NewsAgency,"en:""aida-item:ORG.CommercialOrganization.NewsAgency""",Item,
aida-item:PER.Fan,"en:""aida-item:PER.Fan""",Item,
aida-property:PersonalSocial.Role_Person,"en:""aida-property:PersonalSocial.Role_Person""",Property,aida-property-type:Item
aida-item:WEA.Club.Bat,"en:""aida-item:WEA.Club.Bat""",Item,
aida-item:WEA.Gas,"en:""aida-item:WEA.Gas""",Item,
aida-item:ORG.MilitaryOrganization.NonGovernmentMilitia,"en:""aida-item:ORG.MilitaryOrganization.NonGovernmentMilitia""",Item,
aida-item:Movement.TransportArtifact.PreventExit,"en:""aida-item:Movement.TransportArtifact.PreventExit""",Item,
aida-item:Movement.TransportPerson.SmuggleExtract,"en:""aida-item:Movement.TransportPerson.SmuggleExtract""",Item,
aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Place,"en:""aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Place""",Property,aida-property-type:Item
aida-item:GeneralAffiliation.Sponsorship.Affiliated,"en:""aida-item:GeneralAffiliation.Sponsorship.Affiliated""",Item,
aida-item:OrganizationAffiliation.EmploymentMembership.Membership,"en:""aida-item:OrganizationAffiliation.EmploymentMembership.Membership""",Item,
aida-item:Life.Die.DeathCausedByViolentEvents,"en:""aida-item:Life.Die.DeathCausedByViolentEvents""",Item,
aida-item:VEH.WheeledVehicle.Truck,"en:""aida-item:VEH.WheeledVehicle.Truck""",Item,
aida-item:Government.Agreements,"en:""aida-item:Government.Agreements""",Item,
aida-item:BAL.BallotSlate.BallotSlate,"en:""aida-item:BAL.BallotSlate.BallotSlate""",Item,
aida-item:PER.Politician.Governor,"en:""aida-item:PER.Politician.Governor""",Item,
aida-item:Conflict.Yield.Retreat,"en:""aida-item:Conflict.Yield.Retreat""",Item,
aida-item:Personnel.EndPosition.FiringLayoff,"en:""aida-item:Personnel.EndPosition.FiringLayoff""",Item,
aida-item:FAC.GeographicalArea,"en:""aida-item:FAC.GeographicalArea""",Item,
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_Artifact,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_Artifact""",Property,aida-property-type:Item
aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Organization,"en:""aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Organization""",Property,aida-property-type:Item
aida-item:VAL.Number.Number,"en:""aida-item:VAL.Number.Number""",Item,
aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor,"en:""aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor""",Property,aida-property-type:Item
aida-item:FAC.Structure.Bridge,"en:""aida-item:FAC.Structure.Bridge""",Item,
aida-item:COM.Equipment.MilitaryEquipment,"en:""aida-item:COM.Equipment.MilitaryEquipment""",Item,
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Nationality,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Nationality""",Property,aida-property-type:Item
aida-item:MON,"en:""aida-item:MON""",Item,
aida-item:Movement.TransportPerson.SelfMotion,"en:""aida-item:Movement.TransportPerson.SelfMotion""",Item,
aida-item:Justice.JudicialConsequences.Convict,"en:""aida-item:Justice.JudicialConsequences.Convict""",Item,
aida-item:Government.Agreements.AcceptAgreementContractCeasefire,"en:""aida-item:Government.Agreements.AcceptAgreementContractCeasefire""",Item,
aida-item:Movement.TransportPerson.BringCarryUnload,"en:""aida-item:Movement.TransportPerson.BringCarryUnload""",Item,
aida-item:WEA.Bullets.LiveRounds,"en:""aida-item:WEA.Bullets.LiveRounds""",Item,
aida-item:Life.Die,"en:""aida-item:Life.Die""",Item,
aida-item:Measurement.Size.Percentage,"en:""aida-item:Measurement.Size.Percentage""",Item,
aida-item:ORG.Government.ProsecutorOffice,"en:""aida-item:ORG.Government.ProsecutorOffice""",Item,
aida-item:Government.Formation.MergeGPE,"en:""aida-item:Government.Formation.MergeGPE""",Item,
aida-property:PartWhole.Subsidiary_Parent,"en:""aida-property:PartWhole.Subsidiary_Parent""",Property,aida-property-type:Item
aida-item:CRM.PoliticalCrime,"en:""aida-item:CRM.PoliticalCrime""",Item,
aida-item:Life.Injure.InjuryCausedByViolentEvents,"en:""aida-item:Life.Injure.InjuryCausedByViolentEvents""",Item,
aida-item:VEH.MilitaryVehicle.MilitaryBoat,"en:""aida-item:VEH.MilitaryVehicle.MilitaryBoat""",Item,
aida-item:Movement.TransportArtifact.ReceiveImport,"en:""aida-item:Movement.TransportArtifact.ReceiveImport""",Item,
aida-item:Inspection.SensoryObserve.PhysicalInvestigateInspect,"en:""aida-item:Inspection.SensoryObserve.PhysicalInvestigateInspect""",Item,
aida-property:OrganizationAffiliation.EmploymentMembership.Membership_Member,"en:""aida-property:OrganizationAffiliation.EmploymentMembership.Membership_Member""",Property,aida-property-type:Item
aida-item:Conflict.Attack.FirearmAttack,"en:""aida-item:Conflict.Attack.FirearmAttack""",Item,
aida-item:WEA.Bullets.RubberBullets,"en:""aida-item:WEA.Bullets.RubberBullets""",Item,
aida-item:CRM.PoliticalCrime.PoliceMisconduct,"en:""aida-item:CRM.PoliticalCrime.PoliceMisconduct""",Item,
aida-item:WEA.ThrownProjectile.Rock,"en:""aida-item:WEA.ThrownProjectile.Rock""",Item,
aida-item:Justice.InitiateJudicialProcess.ChargeIndict,"en:""aida-item:Justice.InitiateJudicialProcess.ChargeIndict""",Item,
aida-item:Contact.RequestAdvise.Meet,"en:""aida-item:Contact.RequestAdvise.Meet""",Item,
aida-item:ArtifactExistence.DamageDestroy.Damage,"en:""aida-item:ArtifactExistence.DamageDestroy.Damage""",Item,
aida-item:LOC.Position.AirSpace,"en:""aida-item:LOC.Position.AirSpace""",Item,
aida-property:linkTarget,,Property,aida-property-type:URL
aida-item:Movement.TransportArtifact,"en:""aida-item:Movement.TransportArtifact""",Item,
aida-item:Contact.Discussion.Correspondence,"en:""aida-item:Contact.Discussion.Correspondence""",Item,
aida-item:Conflict.Demonstrate,"en:""aida-item:Conflict.Demonstrate""",Item,
aida-item:Physical.LocatedNear.Surround,"en:""aida-item:Physical.LocatedNear.Surround""",Item,
