identifier,name,type,data_type
aida-item:PER.MilitaryPersonnel,"en:""aida-item:PER.MilitaryPersonnel""",Item,
aida-item:Conflict.Attack.SetFire,"en:""aida-item:Conflict.Attack.SetFire""",Item,
aida-item:Transaction.Transaction.GiftGrantProvideAid,"en:""aida-item:Transaction.Transaction.GiftGrantProvideAid""",Item,
aida-item:Contact.CommandOrder.Correspondence,"en:""aida-item:Contact.CommandOrder.Correspondence""",Item,
aida-item:FAC.Way.Highway,"en:""aida-item:FAC.Way.Highway""",Item,
aida-item:LOC.Position.Region,"en:""aida-item:LOC.Position.Region""",Item,
aida-item:Government.Formation,"en:""aida-item:Government.Formation""",Item,
aida-property:Evaluate.Legitimacy.Legitimate_Holder,"en:""aida-property:Evaluate.Legitimacy.Legitimate_Holder""",Property,aida-property-type:Item
aida-item:Manufacture.Artifact.CreateManufacture,"en:""aida-item:Manufacture.Artifact.CreateManufacture""",Item,
aida-item:FAC.GeographicalArea.Checkpoint,"en:""aida-item:FAC.GeographicalArea.Checkpoint""",Item,
aida-item:Entity,,Item,
aida-item:Conflict.Attack.AirstrikeMissileStrike,"en:""aida-item:Conflict.Attack.AirstrikeMissileStrike""",Item,
aida-item:Contact.Negotiate,"en:""aida-item:Contact.Negotiate""",Item,
aida-item:Manufacture.Artifact.CreateIntellectualProperty,"en:""aida-item:Manufacture.Artifact.CreateIntellectualProperty""",Item,
aida-property:GeneralAffiliation.Sponsorship.HelpSupport_ActorOrEvent,"en:""aida-property:GeneralAffiliation.Sponsorship.HelpSupport_ActorOrEvent""",Property,aida-property-type:Item
aida-item:LOC.Position,"en:""aida-item:LOC.Position""",Item,
aida-item:BAL,"en:""aida-item:BAL""",Item,
aida-item:Transaction.TransferOwnership.GiftGrantProvideAid,"en:""aida-item:Transaction.TransferOwnership.GiftGrantProvideAid""",Item,
aida-item:VEH.Watercraft,"en:""aida-item:VEH.Watercraft""",Item,
aida-item:FAC.Building.House,"en:""aida-item:FAC.Building.House""",Item,
aida-property:OrganizationAffiliation.EmploymentMembership.Membership_PlaceOfMembership,"en:""aida-property:OrganizationAffiliation.EmploymentMembership.Membership_PlaceOfMembership""",Property,aida-property-type:Item
aida-item:Transaction.TransferMoney.Purchase,"en:""aida-item:Transaction.TransferMoney.Purchase""",Item,
aida-property:PartWhole.Subsidiary_Subsidiary,"en:""aida-property:PartWhole.Subsidiary_Subsidiary""",Property,aida-property-type:Item
aida-item:PER.ProfessionalPosition.Paramedic,"en:""aida-item:PER.ProfessionalPosition.Paramedic""",Item,
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_EntityOrFiller,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_EntityOrFiller""",Property,aida-property-type:Item
aida-item:WEA.Club,"en:""aida-item:WEA.Club""",Item,
aida-property:ResponsibilityBlame.AssignBlame.AssignBlame_Event,"en:""aida-property:ResponsibilityBlame.AssignBlame.AssignBlame_Event""",Property,aida-property-type:Item
aida-property:PersonalSocial.Role.ProfessionalRole_JobRole,"en:""aida-property:PersonalSocial.Role.ProfessionalRole_JobRole""",Property,aida-property-type:Item
aida-item:VEH.Aircraft.CargoAircraft,"en:""aida-item:VEH.Aircraft.CargoAircraft""",Item,
aida-item:WEA.DaggerKnifeSword.Hatchet,"en:""aida-item:WEA.DaggerKnifeSword.Hatchet""",Item,
aida-item:Conflict.Attack,"en:""aida-item:Conflict.Attack""",Item,
aida-item:FAC.Structure.Plaza,"en:""aida-item:FAC.Structure.Plaza""",Item,
aida-property:Evaluate.Deliberateness.Deliberate_Holder,"en:""aida-property:Evaluate.Deliberateness.Deliberate_Holder""",Property,aida-property-type:Item
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller,"en:""aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller""",Property,aida-property-type:Item
aida-item:Contact.CommandOrder.Meet,"en:""aida-item:Contact.CommandOrder.Meet""",Item,
aida-item:GPE.Country.Country,"en:""aida-item:GPE.Country.Country""",Item,
aida-property:PartWhole.Subsidiary.NationalityCitizen_Parent,"en:""aida-property:PartWhole.Subsidiary.NationalityCitizen_Parent""",Property,aida-property-type:Item
aida-item:CRM.FinancialCrime,"en:""aida-item:CRM.FinancialCrime""",Item,
aida-item:PER.ProfessionalPosition.Minister,"en:""aida-item:PER.ProfessionalPosition.Minister""",Item,
aida-item:Movement.TransportPerson.Hide,"en:""aida-item:Movement.TransportPerson.Hide""",Item,
aida-item:FAC.Structure.Tower,"en:""aida-item:FAC.Structure.Tower""",Item,
aida-item:CRM.BehaviorCrime.OrganizedCrime,"en:""aida-item:CRM.BehaviorCrime.OrganizedCrime""",Item,
aida-item:WEA.DaggerKnifeSword,"en:""aida-item:WEA.DaggerKnifeSword""",Item,
aida-item:Manufacture.Artifact.Build,"en:""aida-item:Manufacture.Artifact.Build""",Item,
aida-item:Transaction.TransferMoney.EmbargoSanction,"en:""aida-item:Transaction.TransferMoney.EmbargoSanction""",Item,
aida-property:Physical.LocatedNear.Surround_EntityOrFiller,"en:""aida-property:Physical.LocatedNear.Surround_EntityOrFiller""",Property,aida-property-type:Item
aida-property:Contact.CommitmentPromiseExpressIntent.Meet_Communicator,,Property,aida-property-type:Item
aida-item:Movement.TransportPerson.PreventEntry,"en:""aida-item:Movement.TransportPerson.PreventEntry""",Item,
aida-item:PersonalSocial.Role.ProfessionalRole,"en:""aida-item:PersonalSocial.Role.ProfessionalRole""",Item,
aida-item:Contact.Collaborate,"en:""aida-item:Contact.Collaborate""",Item,
aida-item:FAC.Structure.Barricade,"en:""aida-item:FAC.Structure.Barricade""",Item,
aida-item:PER.ProfessionalPosition.Firefighter,"en:""aida-item:PER.ProfessionalPosition.Firefighter""",Item,
aida-property:Measurement.Size.Weight_Measurement,"en:""aida-property:Measurement.Size.Weight_Measurement""",Property,aida-property-type:Item
aida-item:VEH.WheeledVehicle.FireApparatus,"en:""aida-item:VEH.WheeledVehicle.FireApparatus""",Item,
aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation,"en:""aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation""",Item,
aida-item:CRM.FinancialCrime.Forgery,"en:""aida-item:CRM.FinancialCrime.Forgery""",Item,
aida-item:WEA.Gas.TearGas,"en:""aida-item:WEA.Gas.TearGas""",Item,
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality""",Property,aida-property-type:Item
aida-property:OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership,"en:""aida-property:OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership""",Property,aida-property-type:Item
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Controller,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Controller""",Property,aida-property-type:Item
aida-item:GPE.OrganizationOfCountries.OrganizationOfCountries,"en:""aida-item:GPE.OrganizationOfCountries.OrganizationOfCountries""",Item,
aida-item:Justice.InitiateJudicialProcess,"en:""aida-item:Justice.InitiateJudicialProcess""",Item,
aida-property:OrganizationAffiliation.Leadership.HeadOfState_Country,"en:""aida-property:OrganizationAffiliation.Leadership.HeadOfState_Country""",Property,aida-property-type:Item
aida-item:ORG.Association.Team,"en:""aida-item:ORG.Association.Team""",Item,
aida-item:LOC.Position.Neighborhood,"en:""aida-item:LOC.Position.Neighborhood""",Item,
aida-item:Personnel.StartPosition.Hiring,"en:""aida-item:Personnel.StartPosition.Hiring""",Item,
aida-item:WEA.Bomb.Grenade,"en:""aida-item:WEA.Bomb.Grenade""",Item,
aida-item:COM,"en:""aida-item:COM""",Item,
aida-item:VEH.WheeledVehicle.Train,"en:""aida-item:VEH.WheeledVehicle.Train""",Item,
aida-item:MON.Assets.Assets,"en:""aida-item:MON.Assets.Assets""",Item,
aida-item:Inspection.SensoryObserve,"en:""aida-item:Inspection.SensoryObserve""",Item,
aida-property:OrganizationAffiliation.Leadership.HeadOfState_Leader,"en:""aida-property:OrganizationAffiliation.Leadership.HeadOfState_Leader""",Property,aida-property-type:Item
aida-item:OrganizationAffiliation.Leadership,"en:""aida-item:OrganizationAffiliation.Leadership""",Item,
aida-item:Justice.InitiateJudicialProcess.TrialHearing,"en:""aida-item:Justice.InitiateJudicialProcess.TrialHearing""",Item,
aida-item:FAC.Building.ApartmentBuilding,"en:""aida-item:FAC.Building.ApartmentBuilding""",Item,
aida-item:Contact.Prevarication,"en:""aida-item:Contact.Prevarication""",Item,
aida-item:Transaction.TransferOwnership.Purchase,"en:""aida-item:Transaction.TransferOwnership.Purchase""",Item,
aida-item:LOC.GeographicPoint,"en:""aida-item:LOC.GeographicPoint""",Item,
aida-item:GeneralAffiliation.Sponsorship.HelpSupport,"en:""aida-item:GeneralAffiliation.Sponsorship.HelpSupport""",Item,
aida-property:Contact.CommitmentPromiseExpressIntent.Meet_Place,,Property,aida-property-type:Item
aida-item:Life.Injure.IllnessDegradationHungerThirst,"en:""aida-item:Life.Injure.IllnessDegradationHungerThirst""",Item,
aida-item:Contact.CommitmentPromiseExpressIntent.Broadcast,"en:""aida-item:Contact.CommitmentPromiseExpressIntent.Broadcast""",Item,
aida-property:Physical.Resident.Resident_Place,"en:""aida-property:Physical.Resident.Resident_Place""",Property,aida-property-type:Item
aida-item:COM.Equipment.HumanitarianAid,"en:""aida-item:COM.Equipment.HumanitarianAid""",Item,
aida-item:CRM,"en:""aida-item:CRM""",Item,
aida-item:Movement.TransportPerson.Fall,"en:""aida-item:Movement.TransportPerson.Fall""",Item,
aida-item:WEA.MissileSystem,"en:""aida-item:WEA.MissileSystem""",Item,
aida-item:Conflict.Attack.BiologicalChemicalPoisonAttack,"en:""aida-item:Conflict.Attack.BiologicalChemicalPoisonAttack""",Item,
aida-item:WEA.MissileSystem.MissileLauncher,"en:""aida-item:WEA.MissileSystem.MissileLauncher""",Item,
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_Organization,"en:""aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_Organization""",Property,aida-property-type:Item
aida-item:Contact.MediaStatement.Broadcast,"en:""aida-item:Contact.MediaStatement.Broadcast""",Item,
aida-item:PER.Combatant.Mercenary,"en:""aida-item:PER.Combatant.Mercenary""",Item,
aida-item:Transaction.TransferMoney.GiftGrantProvideAid,"en:""aida-item:Transaction.TransferMoney.GiftGrantProvideAid""",Item,
aida-item:CRM.FinancialCrime.Fraud,"en:""aida-item:CRM.FinancialCrime.Fraud""",Item,
aida-item:Contact.Negotiate.Correspondence,"en:""aida-item:Contact.Negotiate.Correspondence""",Item,
aida-item:Personnel.StartPosition,"en:""aida-item:Personnel.StartPosition""",Item,
aida-item:WEA.Gun,"en:""aida-item:WEA.Gun""",Item,
aida-property:OrganizationAffiliation.Leadership.Government_Leader,"en:""aida-property:OrganizationAffiliation.Leadership.Government_Leader""",Property,aida-property-type:Item
aida-item:FAC.Building.StoreShop,"en:""aida-item:FAC.Building.StoreShop""",Item,
aida-property:PersonalSocial.Role_Role,"en:""aida-property:PersonalSocial.Role_Role""",Property,aida-property-type:Item
aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation,"en:""aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation""",Item,
aida-item:Transaction.TransferOwnership.EmbargoSanction,"en:""aida-item:Transaction.TransferOwnership.EmbargoSanction""",Item,
aida-item:ORG.Association,"en:""aida-item:ORG.Association""",Item,
aida-property:Measurement.Size.Weight_EntityOrFiller,"en:""aida-property:Measurement.Size.Weight_EntityOrFiller""",Property,aida-property-type:Item
aida-item:FAC.Building.School,"en:""aida-item:FAC.Building.School""",Item,
aida-item:WEA.MissileSystem.AntiAircraftMissle,"en:""aida-item:WEA.MissileSystem.AntiAircraftMissle""",Item,
aida-item:Movement.TransportArtifact.BringCarryUnload,"en:""aida-item:Movement.TransportArtifact.BringCarryUnload""",Item,
aida-item:COM.Equipment.Satellite,"en:""aida-item:COM.Equipment.Satellite""",Item,
aida-item:Conflict.Attack.SelfDirectedBattle,"en:""aida-item:Conflict.Attack.SelfDirectedBattle""",Item,
aida-property:PersonalSocial.Role.TitleFormOfAddress_Person,"en:""aida-property:PersonalSocial.Role.TitleFormOfAddress_Person""",Property,aida-property-type:Item
aida-property:Measurement.Size_EntityOrFiller,"en:""aida-property:Measurement.Size_EntityOrFiller""",Property,aida-property-type:Item
aida-property:GeneralAffiliation.OrganizationWebsite.OrganizationWebsite_Organization,"en:""aida-property:GeneralAffiliation.OrganizationWebsite.OrganizationWebsite_Organization""",Property,aida-property-type:Item
aida-item:Contact.Collaborate.Correspondence,"en:""aida-item:Contact.Collaborate.Correspondence""",Item,
aida-item:FAC.Installation,"en:""aida-item:FAC.Installation""",Item,
aida-item:Movement.TransportArtifact.DisperseSeparate,"en:""aida-item:Movement.TransportArtifact.DisperseSeparate""",Item,
aida-item:PartWhole.Subsidiary.OrganizationSubsidiary,"en:""aida-item:PartWhole.Subsidiary.OrganizationSubsidiary""",Item,
aida-item:Government.Vote.ViolationsPreventVote,"en:""aida-item:Government.Vote.ViolationsPreventVote""",Item,
aida-item:Justice.JudicialConsequences.Extradite,"en:""aida-item:Justice.JudicialConsequences.Extradite""",Item,
aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession,"en:""aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession""",Item,
aida-item:VEH,"en:""aida-item:VEH""",Item,
aida-item:VEH.WheeledVehicle.Car,"en:""aida-item:VEH.WheeledVehicle.Car""",Item,
aida-item:CRM.ViolentCrime,"en:""aida-item:CRM.ViolentCrime""",Item,
aida-item:LOC,"en:""aida-item:LOC""",Item,
aida-item:WEA.Gun.Artillery,"en:""aida-item:WEA.Gun.Artillery""",Item,
aida-property:ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_Event,"en:""aida-property:ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_Event""",Property,aida-property-type:Item
aida-property:PartWhole.Subsidiary.OrganizationSubsidiary_Parent,"en:""aida-property:PartWhole.Subsidiary.OrganizationSubsidiary_Parent""",Property,aida-property-type:Item
aida-item:SID.Political.Opposition,"en:""aida-item:SID.Political.Opposition""",Item,
aida-item:VEH.Watercraft.Boat,"en:""aida-item:VEH.Watercraft.Boat""",Item,
aida-item:Event,,Item,
aida-item:Conflict.Attack.Bombing,"en:""aida-item:Conflict.Attack.Bombing""",Item,
aida-item:VAL,"en:""aida-item:VAL""",Item,
aida-item:Contact.ThreatenCoerce.Broadcast,"en:""aida-item:Contact.ThreatenCoerce.Broadcast""",Item,
aida-item:Justice.Investigate.InvestigateCrime,"en:""aida-item:Justice.Investigate.InvestigateCrime""",Item,
aida-property:PersonalSocial.Unspecified.Political_Person,"en:""aida-property:PersonalSocial.Unspecified.Political_Person""",Property,aida-property-type:Item
aida-item:Contact.CommandOrder.Broadcast,"en:""aida-item:Contact.CommandOrder.Broadcast""",Item,
aida-item:FAC,"en:""aida-item:FAC""",Item,
aida-item:VEH.MilitaryVehicle,"en:""aida-item:VEH.MilitaryVehicle""",Item,
aida-item:Contact.PublicStatementInPerson,"en:""aida-item:Contact.PublicStatementInPerson""",Item,
aida-item:CRM.BehaviorCrime.FailToAssist,"en:""aida-item:CRM.BehaviorCrime.FailToAssist""",Item,
aida-property-type:MonolingualText,"en:""aida-property-type:MonolingualText""",Item,
aida-item:PersonalSocial.Role.TitleFormOfAddress,"en:""aida-item:PersonalSocial.Role.TitleFormOfAddress""",Item,
aida-item:PER.Protester,"en:""aida-item:PER.Protester""",Item,
aida-item:Contact.Discussion,"en:""aida-item:Contact.Discussion""",Item,
aida-item:GPE.UrbanArea,"en:""aida-item:GPE.UrbanArea""",Item,
aida-item:FAC.Building.VotingFacility,"en:""aida-item:FAC.Building.VotingFacility""",Item,
aida-item:PersonalSocial.Role,"en:""aida-item:PersonalSocial.Role""",Item,
aida-item:VEH.WheeledVehicle.Bus,"en:""aida-item:VEH.WheeledVehicle.Bus""",Item,
aida-item:Movement.TransportArtifact.SmuggleExtract,"en:""aida-item:Movement.TransportArtifact.SmuggleExtract""",Item,
aida-property:Measurement.Size.HeightLengthWidth_Measurement,"en:""aida-property:Measurement.Size.HeightLengthWidth_Measurement""",Property,aida-property-type:Item
aida-item:PER.ProfessionalPosition.Ambassador,"en:""aida-item:PER.ProfessionalPosition.Ambassador""",Item,
aida-property-type:Value,"en:""aida-property-type:Value""",Item,
aida-property:Evaluate.Sentiment.Negative_Holder,"en:""aida-property:Evaluate.Sentiment.Negative_Holder""",Property,aida-property-type:Item
aida-item:WEA.Bomb,"en:""aida-item:WEA.Bomb""",Item,
aida-item:ORG.MilitaryOrganization,"en:""aida-item:ORG.MilitaryOrganization""",Item,
aida-item:Measurement.Size.Weight,"en:""aida-item:Measurement.Size.Weight""",Item,
aida-item:SID.Ideological.Ideological,"en:""aida-item:SID.Ideological.Ideological""",Item,
aida-property:OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment,"en:""aida-property:OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment""",Property,aida-property-type:Item
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality,"en:""aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality""",Property,aida-property-type:Item
aida-item:Contact.RequestAdvise.Correspondence,"en:""aida-item:Contact.RequestAdvise.Correspondence""",Item,
aida-item:Personnel.Elect.WinElection,"en:""aida-item:Personnel.Elect.WinElection""",Item,
aida-item:Transaction.TransferMoney,"en:""aida-item:Transaction.TransferMoney""",Item,
aida-item:Movement.TransportArtifact.Fall,"en:""aida-item:Movement.TransportArtifact.Fall""",Item,
aida-item:Government.Vote.CastVote,"en:""aida-item:Government.Vote.CastVote""",Item,
aida-item:ORG.MilitaryOrganization.GovernmentArmedForces,"en:""aida-item:ORG.MilitaryOrganization.GovernmentArmedForces""",Item,
aida-item:LOC.GeographicPoint.Address,"en:""aida-item:LOC.GeographicPoint.Address""",Item,
aida-item:Transaction.TransferOwnership.BorrowLend,"en:""aida-item:Transaction.TransferOwnership.BorrowLend""",Item,
aida-item:Movement.TransportArtifact.Hide,"en:""aida-item:Movement.TransportArtifact.Hide""",Item,
aida-item:FAC.Way.Street,"en:""aida-item:FAC.Way.Street""",Item,
aida-item:LOC.Position.CrimeScene,"en:""aida-item:LOC.Position.CrimeScene""",Item,
aida-item:COM.Equipment.MedicalEquipment,"en:""aida-item:COM.Equipment.MedicalEquipment""",Item,
aida-item:PER.Combatant.Sniper,"en:""aida-item:PER.Combatant.Sniper""",Item,
aida-item:Conflict.Attack.Hanging,"en:""aida-item:Conflict.Attack.Hanging""",Item,
aida-property:Evaluate.Sentiment.Positive_SentimentTarget,"en:""aida-property:Evaluate.Sentiment.Positive_SentimentTarget""",Property,aida-property-type:Item
aida-item:Movement.TransportArtifact.GrantEntry,"en:""aida-item:Movement.TransportArtifact.GrantEntry""",Item,
aida-item:ORG,"en:""aida-item:ORG""",Item,
aida-item:ORG.Government.Council,"en:""aida-item:ORG.Government.Council""",Item,
aida-item:Movement.TransportArtifact.NonviolentThrowLaunch,"en:""aida-item:Movement.TransportArtifact.NonviolentThrowLaunch""",Item,
aida-item:CRM.FinancialCrime.Extortion,"en:""aida-item:CRM.FinancialCrime.Extortion""",Item,
aida-item:WEA.GrenadeLauncher.GrenadeLauncher,"en:""aida-item:WEA.GrenadeLauncher.GrenadeLauncher""",Item,
aida-item:FAC.Structure,"en:""aida-item:FAC.Structure""",Item,
aida-property:PartWhole.Subsidiary.OrganizationSubsidiary_Subsidiary,"en:""aida-property:PartWhole.Subsidiary.OrganizationSubsidiary_Subsidiary""",Property,aida-property-type:Item
aida-item:Life.Injure,"en:""aida-item:Life.Injure""",Item,
aida-item:PartWhole.Subsidiary,"en:""aida-item:PartWhole.Subsidiary""",Item,
aida-item:Movement.TransportPerson.PreventExit,"en:""aida-item:Movement.TransportPerson.PreventExit""",Item,
aida-property:Information.Color.Color_Color,"en:""aida-property:Information.Color.Color_Color""",Property,aida-property-type:Item
aida-item:OrganizationAffiliation.Leadership.HeadOfState,"en:""aida-item:OrganizationAffiliation.Leadership.HeadOfState""",Item,
aida-item:SID,"en:""aida-item:SID""",Item,
aida-property:Physical.Resident.Resident_Resident,"en:""aida-property:Physical.Resident.Resident_Resident""",Property,aida-property-type:Item
aida-item:ORG.CommercialOrganization.Manufacturer,"en:""aida-item:ORG.CommercialOrganization.Manufacturer""",Item,
aida-item:Government.Agreements.RejectNullifyAgreementContractCeasefire,"en:""aida-item:Government.Agreements.RejectNullifyAgreementContractCeasefire""",Item,
aida-item:Justice.JudicialConsequences.Execute,"en:""aida-item:Justice.JudicialConsequences.Execute""",Item,
aida-item:Conflict.Attack.StealRobHijack,"en:""aida-item:Conflict.Attack.StealRobHijack""",Item,
aida-item:Conflict.Demonstrate.MarchProtestPoliticalGathering,"en:""aida-item:Conflict.Demonstrate.MarchProtestPoliticalGathering""",Item,
aida-property:hasName,,Property,aida-property-type:MonolingualText
aida-item:Justice.JudicialConsequences,"en:""aida-item:Justice.JudicialConsequences""",Item,
aida-property:Evaluate.Legitimacy.Legitimate_Event,"en:""aida-property:Evaluate.Legitimacy.Legitimate_Event""",Property,aida-property-type:Item
aida-item:Contact.RequestAdvise,"en:""aida-item:Contact.RequestAdvise""",Item,
aida-property:GeneralAffiliation.Sponsorship.Affiliated_ActorOrEvent,"en:""aida-property:GeneralAffiliation.Sponsorship.Affiliated_ActorOrEvent""",Property,aida-property-type:Item
aida-item:WEA.MissileSystem.AirToAirMissile,"en:""aida-item:WEA.MissileSystem.AirToAirMissile""",Item,
aida-item:ORG.MilitaryOrganization.Intelligence,"en:""aida-item:ORG.MilitaryOrganization.Intelligence""",Item,
aida-property:Evaluate.Legitimacy.Illegitimate_Holder,"en:""aida-property:Evaluate.Legitimacy.Illegitimate_Holder""",Property,aida-property-type:Item
aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen,"en:""aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen""",Item,
aida-item:Contact.PublicStatementInPerson.Broadcast,"en:""aida-item:Contact.PublicStatementInPerson.Broadcast""",Item,
aida-item:VEH.MilitaryVehicle.Tank,"en:""aida-item:VEH.MilitaryVehicle.Tank""",Item,
aida-item:Contact.Prevarication.Correspondence,"en:""aida-item:Contact.Prevarication.Correspondence""",Item,
aida-item:Movement.TransportPerson.DisperseSeparate,"en:""aida-item:Movement.TransportPerson.DisperseSeparate""",Item,
aida-property:ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible,"en:""aida-property:ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible""",Property,aida-property-type:Item
aida-property:OrganizationAffiliation.EmploymentMembership_EmployeeMember,"en:""aida-property:OrganizationAffiliation.EmploymentMembership_EmployeeMember""",Property,aida-property-type:Item
aida-property:Measurement.Size.Percentage_EntityOrFiller,"en:""aida-property:Measurement.Size.Percentage_EntityOrFiller""",Property,aida-property-type:Item
aida-property:end,,Property,aida-property-type:DateTime
aida-property:Physical.LocatedNear_Place,"en:""aida-property:Physical.LocatedNear_Place""",Property,aida-property-type:Item
aida-item:Physical.LocatedNear,"en:""aida-item:Physical.LocatedNear""",Item,
aida-item:Conflict.Attack.Strangling,"en:""aida-item:Conflict.Attack.Strangling""",Item,
aida-property:Physical.LocatedNear_EntityOrFiller,"en:""aida-property:Physical.LocatedNear_EntityOrFiller""",Property,aida-property-type:Item
aida-property:GeneralAffiliation.Sponsorship.Affiliated_Sponsor,"en:""aida-property:GeneralAffiliation.Sponsorship.Affiliated_Sponsor""",Property,aida-property-type:Item
aida-item:OrganizationAffiliation.Leadership.MilitaryPolice,"en:""aida-item:OrganizationAffiliation.Leadership.MilitaryPolice""",Item,
aida-item:Contact.Prevarication.Meet,"en:""aida-item:Contact.Prevarication.Meet""",Item,
aida-property:Evaluate.Sentiment.Negative_SentimentTarget,"en:""aida-property:Evaluate.Sentiment.Negative_SentimentTarget""",Property,aida-property-type:Item
aida-item:PER,"en:""aida-item:PER""",Item,
aida-property:Information.Color.Color_EntityOrFiller,"en:""aida-property:Information.Color.Color_EntityOrFiller""",Property,aida-property-type:Item
aida-property:OrganizationAffiliation.EmploymentMembership.Employment_Employee,"en:""aida-property:OrganizationAffiliation.EmploymentMembership.Employment_Employee""",Property,aida-property-type:Item
aida-property-type:URL,"en:""aida-property-type:URL""",Item,
aida-property:PersonalSocial.Unspecified_Person,"en:""aida-property:PersonalSocial.Unspecified_Person""",Property,aida-property-type:Item
aida-property:PersonalSocial.Role.ProfessionalRole_Person,"en:""aida-property:PersonalSocial.Role.ProfessionalRole_Person""",Property,aida-property-type:Item
aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory,"en:""aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory""",Item,
aida-item:Contact.Negotiate.Meet,"en:""aida-item:Contact.Negotiate.Meet""",Item,
aida-property:GeneralAffiliation.Sponsorship.HelpSupport_Sponsor,"en:""aida-property:GeneralAffiliation.Sponsorship.HelpSupport_Sponsor""",Property,aida-property-type:Item
aida-property:Measurement.Size_Measurement,"en:""aida-property:Measurement.Size_Measurement""",Property,aida-property-type:Item
aida-property:Evaluate.Deliberateness.Accidental_Holder,"en:""aida-property:Evaluate.Deliberateness.Accidental_Holder""",Property,aida-property-type:Item
aida-item:WEA.Bomb.MolotovCocktail,"en:""aida-item:WEA.Bomb.MolotovCocktail""",Item,
owl:Class,"en:""owl:Class""",Item,
owl:DatatypeProperty,"en:""owl:DatatypeProperty""",Item,
owl:ObjectProperty,"en:""owl:ObjectProperty""",Item,
rdfs:subClassOf,"en:""rdfs:subClassOf""",Property,aida-property-type:Item
rdf:type,"en:""rdf:type""",Property,aida-property-type:Item
