node1	label	node2	node1;label	label;label	node2;label
Q1086823	P22	Q345517	'Christopher Lawford'@en	'father'@en	'Peter Lawford'@en
Q1086823	P25	Q432694	'Christopher Lawford'@en	'mother'@en	'Patricia Kennedy Lawford'@en
Q1086823	P26	Q75326809	'Christopher Lawford'@en	'spouse'@en	'Jean Edith Olssen'@en
Q1086823	P3373	Q75326777	'Christopher Lawford'@en	'sibling'@en	'Victoria Lawford'@en
Q1086823	P3373	Q75326779	'Christopher Lawford'@en	'sibling'@en	'Sydney Lawford'@en
Q1086823	P3373	Q75326780	'Christopher Lawford'@en	'sibling'@en	'Robin Lawford'@en
Q1086823	P3448	Q96079835	'Christopher Lawford'@en	'stepparent'@en	'Mary Rowan'@en
Q1086823	P3448	Q96079836	'Christopher Lawford'@en	'stepparent'@en	'Deborah Gould'@en
Q1086823	P3448	Q96079838	'Christopher Lawford'@en	'stepparent'@en	'Patricia Seaton'@en
Q1086823	P40	Q76363382	'Christopher Lawford'@en	'child'@en	'David Christopher Lawford'@en
Q1086823	P40	Q76363384	'Christopher Lawford'@en	'child'@en	'Savannah Rose Lawford'@en
Q1086823	P40	Q76363386	'Christopher Lawford'@en	'child'@en	'Matthew Valentine Lawford'@en
Q11673	P26	Q467912	'Andrew Cuomo'@en	'spouse'@en	'Kerry Kennedy'@en
Q134549	P1290	Q9696	'Ted Kennedy'@en	'godparent'@en	'John F. Kennedy'@en
Q134549	P22	Q313696	'Ted Kennedy'@en	'father'@en	'Joseph P. Kennedy Sr.'@en
Q134549	P25	Q236540	'Ted Kennedy'@en	'mother'@en	'Rose Kennedy'@en
Q134549	P26	Q441424	'Ted Kennedy'@en	'spouse'@en	'Joan Bennett Kennedy'@en
Q134549	P26	Q7926996	'Ted Kennedy'@en	'spouse'@en	'Victoria Reggie Kennedy'@en
Q134549	P3373	Q25310	'Ted Kennedy'@en	'sibling'@en	'Robert F. Kennedy'@en
Q134549	P3373	Q265595	'Ted Kennedy'@en	'sibling'@en	'Rosemary Kennedy'@en
Q134549	P3373	Q268799	'Ted Kennedy'@en	'sibling'@en	'Kathleen Cavendish, Marchioness of Hartington'@en
Q134549	P3373	Q272401	'Ted Kennedy'@en	'sibling'@en	'Jean Kennedy Smith'@en
Q134549	P3373	Q272908	'Ted Kennedy'@en	'sibling'@en	'Eunice Kennedy Shriver'@en
Q134549	P3373	Q432694	'Ted Kennedy'@en	'sibling'@en	'Patricia Kennedy Lawford'@en
Q134549	P3373	Q505178	'Ted Kennedy'@en	'sibling'@en	'Joseph P. Kennedy Jr.'@en
Q134549	P3373	Q9696	'Ted Kennedy'@en	'sibling'@en	'John F. Kennedy'@en
Q134549	P40	Q2383370	'Ted Kennedy'@en	'child'@en	'Kara Kennedy'@en
Q134549	P40	Q3048622	'Ted Kennedy'@en	'child'@en	'Edward M. Kennedy Jr.'@en
Q134549	P40	Q948920	'Ted Kennedy'@en	'child'@en	'Patrick J. Kennedy'@en
Q1352872	P22	Q25310	'Robert F. Kennedy Jr.'@en	'father'@en	'Robert F. Kennedy'@en
Q1352872	P25	Q258661	'Robert F. Kennedy Jr.'@en	'mother'@en	'Ethel Skakel Kennedy'@en
Q1352872	P3373	Q1386420	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Joseph P. Kennedy II'@en
Q1352872	P3373	Q1804720	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Michael LeMoyne Kennedy'@en
Q1352872	P3373	Q1975383	'Robert F. Kennedy Jr.'@en	'sibling'@en	'David A. Kennedy'@en
Q1352872	P3373	Q273833	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Rory Kennedy'@en
Q1352872	P3373	Q467861	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Kathleen Kennedy Townsend'@en
Q1352872	P3373	Q467912	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Kerry Kennedy'@en
Q1352872	P3373	Q5112377	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Christopher G. Kennedy'@en
Q1352872	P3373	Q5178632	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Courtney Kennedy Hill'@en
Q1352872	P3373	Q5301573	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Douglas Harriman Kennedy'@en
Q1352872	P3373	Q6794923	'Robert F. Kennedy Jr.'@en	'sibling'@en	'Max Kennedy'@en
Q1386420	P22	Q25310	'Joseph P. Kennedy II'@en	'father'@en	'Robert F. Kennedy'@en
Q1386420	P25	Q258661	'Joseph P. Kennedy II'@en	'mother'@en	'Ethel Skakel Kennedy'@en
Q1386420	P3373	Q1352872	'Joseph P. Kennedy II'@en	'sibling'@en	'Robert F. Kennedy Jr.'@en
Q1386420	P3373	Q1804720	'Joseph P. Kennedy II'@en	'sibling'@en	'Michael LeMoyne Kennedy'@en
Q1386420	P3373	Q1975383	'Joseph P. Kennedy II'@en	'sibling'@en	'David A. Kennedy'@en
Q1386420	P3373	Q273833	'Joseph P. Kennedy II'@en	'sibling'@en	'Rory Kennedy'@en
Q1386420	P3373	Q467861	'Joseph P. Kennedy II'@en	'sibling'@en	'Kathleen Kennedy Townsend'@en
Q1386420	P3373	Q467912	'Joseph P. Kennedy II'@en	'sibling'@en	'Kerry Kennedy'@en
Q1386420	P3373	Q5112377	'Joseph P. Kennedy II'@en	'sibling'@en	'Christopher G. Kennedy'@en
Q1386420	P3373	Q5178632	'Joseph P. Kennedy II'@en	'sibling'@en	'Courtney Kennedy Hill'@en
Q1386420	P3373	Q5301573	'Joseph P. Kennedy II'@en	'sibling'@en	'Douglas Harriman Kennedy'@en
Q1386420	P3373	Q6794923	'Joseph P. Kennedy II'@en	'sibling'@en	'Max Kennedy'@en
Q165421	P26	Q9696	'Jacqueline Kennedy Onassis'@en	'spouse'@en	'John F. Kennedy'@en
Q165421	P40	Q230303	'Jacqueline Kennedy Onassis'@en	'child'@en	'Caroline Kennedy'@en
Q165421	P40	Q316064	'Jacqueline Kennedy Onassis'@en	'child'@en	'John F. Kennedy Jr.'@en
Q165421	P40	Q3290402	'Jacqueline Kennedy Onassis'@en	'child'@en	'Patrick Bouvier Kennedy'@en
Q165421	P40	Q75326753	'Jacqueline Kennedy Onassis'@en	'child'@en	'Arabelle Kennedy'@en
Q1804720	P22	Q25310	'Michael LeMoyne Kennedy'@en	'father'@en	'Robert F. Kennedy'@en
Q1804720	P25	Q258661	'Michael LeMoyne Kennedy'@en	'mother'@en	'Ethel Skakel Kennedy'@en
Q1804720	P3373	Q1352872	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Robert F. Kennedy Jr.'@en
Q1804720	P3373	Q1386420	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Joseph P. Kennedy II'@en
Q1804720	P3373	Q1975383	'Michael LeMoyne Kennedy'@en	'sibling'@en	'David A. Kennedy'@en
Q1804720	P3373	Q273833	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Rory Kennedy'@en
Q1804720	P3373	Q467861	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Kathleen Kennedy Townsend'@en
Q1804720	P3373	Q467912	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Kerry Kennedy'@en
Q1804720	P3373	Q5112377	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Christopher G. Kennedy'@en
Q1804720	P3373	Q5178632	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Courtney Kennedy Hill'@en
Q1804720	P3373	Q5301573	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Douglas Harriman Kennedy'@en
Q1804720	P3373	Q6794923	'Michael LeMoyne Kennedy'@en	'sibling'@en	'Max Kennedy'@en
Q1975383	P22	Q25310	'David A. Kennedy'@en	'father'@en	'Robert F. Kennedy'@en
Q1975383	P25	Q258661	'David A. Kennedy'@en	'mother'@en	'Ethel Skakel Kennedy'@en
Q1975383	P3373	Q1352872	'David A. Kennedy'@en	'sibling'@en	'Robert F. Kennedy Jr.'@en
Q1975383	P3373	Q1386420	'David A. Kennedy'@en	'sibling'@en	'Joseph P. Kennedy II'@en
Q1975383	P3373	Q1804720	'David A. Kennedy'@en	'sibling'@en	'Michael LeMoyne Kennedy'@en
Q1975383	P3373	Q273833	'David A. Kennedy'@en	'sibling'@en	'Rory Kennedy'@en
Q1975383	P3373	Q467861	'David A. Kennedy'@en	'sibling'@en	'Kathleen Kennedy Townsend'@en
Q1975383	P3373	Q467912	'David A. Kennedy'@en	'sibling'@en	'Kerry Kennedy'@en
Q1975383	P3373	Q5112377	'David A. Kennedy'@en	'sibling'@en	'Christopher G. Kennedy'@en
Q1975383	P3373	Q5178632	'David A. Kennedy'@en	'sibling'@en	'Courtney Kennedy Hill'@en
Q1975383	P3373	Q5301573	'David A. Kennedy'@en	'sibling'@en	'Douglas Harriman Kennedy'@en
Q1975383	P3373	Q6794923	'David A. Kennedy'@en	'sibling'@en	'Max Kennedy'@en
Q230303	P22	Q9696	'Caroline Kennedy'@en	'father'@en	'John F. Kennedy'@en
Q230303	P25	Q165421	'Caroline Kennedy'@en	'mother'@en	'Jacqueline Kennedy Onassis'@en
Q230303	P3373	Q316064	'Caroline Kennedy'@en	'sibling'@en	'John F. Kennedy Jr.'@en
Q230303	P3373	Q3290402	'Caroline Kennedy'@en	'sibling'@en	'Patrick Bouvier Kennedy'@en
Q230303	P3373	Q75326753	'Caroline Kennedy'@en	'sibling'@en	'Arabelle Kennedy'@en
Q230654	P22	Q317248	'Maria Shriver'@en	'father'@en	'Sargent Shriver'@en
Q230654	P25	Q272908	'Maria Shriver'@en	'mother'@en	'Eunice Kennedy Shriver'@en
Q230654	P26	Q2685	'Maria Shriver'@en	'spouse'@en	'Arnold Schwarzenegger'@en
Q230654	P3373	Q3436301	'Maria Shriver'@en	'sibling'@en	'Bobby Shriver'@en
Q230654	P3373	Q3529079	'Maria Shriver'@en	'sibling'@en	'Timothy Shriver'@en
Q230654	P3373	Q4773467	'Maria Shriver'@en	'sibling'@en	'Anthony Shriver'@en
Q230654	P3373	Q6769708	'Maria Shriver'@en	'sibling'@en	'Mark Shriver'@en
Q230654	P40	Q28109921	'Maria Shriver'@en	'child'@en	'Christina Schwarzenegger'@en
Q230654	P40	Q28109928	'Maria Shriver'@en	'child'@en	'Christopher Schwarzenegger'@en
Q230654	P40	Q4521676	'Maria Shriver'@en	'child'@en	'Katherine Schwarzenegger'@en
Q230654	P40	Q901541	'Maria Shriver'@en	'child'@en	'Patrick Schwarzenegger'@en
Q236540	P26	Q313696	'Rose Kennedy'@en	'spouse'@en	'Joseph P. Kennedy Sr.'@en
Q236540	P40	Q134549	'Rose Kennedy'@en	'child'@en	'Ted Kennedy'@en
Q236540	P40	Q25310	'Rose Kennedy'@en	'child'@en	'Robert F. Kennedy'@en
Q236540	P40	Q265595	'Rose Kennedy'@en	'child'@en	'Rosemary Kennedy'@en
Q236540	P40	Q268799	'Rose Kennedy'@en	'child'@en	'Kathleen Cavendish, Marchioness of Hartington'@en
Q236540	P40	Q272401	'Rose Kennedy'@en	'child'@en	'Jean Kennedy Smith'@en
Q236540	P40	Q272908	'Rose Kennedy'@en	'child'@en	'Eunice Kennedy Shriver'@en
Q236540	P40	Q432694	'Rose Kennedy'@en	'child'@en	'Patricia Kennedy Lawford'@en
Q236540	P40	Q505178	'Rose Kennedy'@en	'child'@en	'Joseph P. Kennedy Jr.'@en
Q236540	P40	Q9696	'Rose Kennedy'@en	'child'@en	'John F. Kennedy'@en
Q23800185	P22	Q2685	'Joseph Baena'@en	'father'@en	'Arnold Schwarzenegger'@en
Q23800185	P25	Q75494768	'Joseph Baena'@en	'mother'@en	'Mildred Patricia Baena'@en
Q23800185	P3373	Q901541	'Joseph Baena'@en	'sibling'@en	'Patrick Schwarzenegger'@en
Q23800370	P26	Q3288486	'Aurelia Schwarzenegger'@en	'spouse'@en	'Gustav Schwarzenegger'@en
Q23800370	P26	Q96076900	'Aurelia Schwarzenegger'@en	'spouse'@en	'Jadrny'@en
Q23800370	P40	Q2685	'Aurelia Schwarzenegger'@en	'child'@en	'Arnold Schwarzenegger'@en
Q23800370	P40	Q38196234	'Aurelia Schwarzenegger'@en	'child'@en	'Meinhard Schwarzenegger'@en
Q2383370	P22	Q134549	'Kara Kennedy'@en	'father'@en	'Ted Kennedy'@en
Q2383370	P25	Q441424	'Kara Kennedy'@en	'mother'@en	'Joan Bennett Kennedy'@en
Q2383370	P3373	Q3048622	'Kara Kennedy'@en	'sibling'@en	'Edward M. Kennedy Jr.'@en
Q2383370	P3373	Q948920	'Kara Kennedy'@en	'sibling'@en	'Patrick J. Kennedy'@en
Q24004771	P22	Q38196234	'Patrick M. Knapp Schwarzenegger'@en	'father'@en	'Meinhard Schwarzenegger'@en
Q25310	P22	Q313696	'Robert F. Kennedy'@en	'father'@en	'Joseph P. Kennedy Sr.'@en
Q25310	P25	Q236540	'Robert F. Kennedy'@en	'mother'@en	'Rose Kennedy'@en
Q25310	P26	Q258661	'Robert F. Kennedy'@en	'spouse'@en	'Ethel Skakel Kennedy'@en
Q25310	P3373	Q134549	'Robert F. Kennedy'@en	'sibling'@en	'Ted Kennedy'@en
Q25310	P3373	Q265595	'Robert F. Kennedy'@en	'sibling'@en	'Rosemary Kennedy'@en
Q25310	P3373	Q268799	'Robert F. Kennedy'@en	'sibling'@en	'Kathleen Cavendish, Marchioness of Hartington'@en
Q25310	P3373	Q272401	'Robert F. Kennedy'@en	'sibling'@en	'Jean Kennedy Smith'@en
Q25310	P3373	Q272908	'Robert F. Kennedy'@en	'sibling'@en	'Eunice Kennedy Shriver'@en
Q25310	P3373	Q432694	'Robert F. Kennedy'@en	'sibling'@en	'Patricia Kennedy Lawford'@en
Q25310	P3373	Q505178	'Robert F. Kennedy'@en	'sibling'@en	'Joseph P. Kennedy Jr.'@en
Q25310	P3373	Q9696	'Robert F. Kennedy'@en	'sibling'@en	'John F. Kennedy'@en
Q25310	P40	Q1352872	'Robert F. Kennedy'@en	'child'@en	'Robert F. Kennedy Jr.'@en
Q25310	P40	Q1386420	'Robert F. Kennedy'@en	'child'@en	'Joseph P. Kennedy II'@en
Q25310	P40	Q1804720	'Robert F. Kennedy'@en	'child'@en	'Michael LeMoyne Kennedy'@en
Q25310	P40	Q1975383	'Robert F. Kennedy'@en	'child'@en	'David A. Kennedy'@en
Q25310	P40	Q273833	'Robert F. Kennedy'@en	'child'@en	'Rory Kennedy'@en
Q25310	P40	Q467861	'Robert F. Kennedy'@en	'child'@en	'Kathleen Kennedy Townsend'@en
Q25310	P40	Q467912	'Robert F. Kennedy'@en	'child'@en	'Kerry Kennedy'@en
Q25310	P40	Q5112377	'Robert F. Kennedy'@en	'child'@en	'Christopher G. Kennedy'@en
Q25310	P40	Q5178632	'Robert F. Kennedy'@en	'child'@en	'Courtney Kennedy Hill'@en
Q25310	P40	Q5301573	'Robert F. Kennedy'@en	'child'@en	'Douglas Harriman Kennedy'@en
Q25310	P40	Q6794923	'Robert F. Kennedy'@en	'child'@en	'Max Kennedy'@en
Q258661	P26	Q25310	'Ethel Skakel Kennedy'@en	'spouse'@en	'Robert F. Kennedy'@en
Q258661	P40	Q1352872	'Ethel Skakel Kennedy'@en	'child'@en	'Robert F. Kennedy Jr.'@en
Q258661	P40	Q1386420	'Ethel Skakel Kennedy'@en	'child'@en	'Joseph P. Kennedy II'@en
Q258661	P40	Q1804720	'Ethel Skakel Kennedy'@en	'child'@en	'Michael LeMoyne Kennedy'@en
Q258661	P40	Q1975383	'Ethel Skakel Kennedy'@en	'child'@en	'David A. Kennedy'@en
Q258661	P40	Q273833	'Ethel Skakel Kennedy'@en	'child'@en	'Rory Kennedy'@en
Q258661	P40	Q467861	'Ethel Skakel Kennedy'@en	'child'@en	'Kathleen Kennedy Townsend'@en
Q258661	P40	Q467912	'Ethel Skakel Kennedy'@en	'child'@en	'Kerry Kennedy'@en
Q258661	P40	Q5112377	'Ethel Skakel Kennedy'@en	'child'@en	'Christopher G. Kennedy'@en
Q258661	P40	Q5178632	'Ethel Skakel Kennedy'@en	'child'@en	'Courtney Kennedy Hill'@en
Q258661	P40	Q5301573	'Ethel Skakel Kennedy'@en	'child'@en	'Douglas Harriman Kennedy'@en
Q258661	P40	Q6794923	'Ethel Skakel Kennedy'@en	'child'@en	'Max Kennedy'@en
Q265595	P22	Q313696	'Rosemary Kennedy'@en	'father'@en	'Joseph P. Kennedy Sr.'@en
Q265595	P25	Q236540	'Rosemary Kennedy'@en	'mother'@en	'Rose Kennedy'@en
Q265595	P3373	Q134549	'Rosemary Kennedy'@en	'sibling'@en	'Ted Kennedy'@en
Q265595	P3373	Q25310	'Rosemary Kennedy'@en	'sibling'@en	'Robert F. Kennedy'@en
Q265595	P3373	Q268799	'Rosemary Kennedy'@en	'sibling'@en	'Kathleen Cavendish, Marchioness of Hartington'@en
Q265595	P3373	Q272401	'Rosemary Kennedy'@en	'sibling'@en	'Jean Kennedy Smith'@en
Q265595	P3373	Q272908	'Rosemary Kennedy'@en	'sibling'@en	'Eunice Kennedy Shriver'@en
Q265595	P3373	Q432694	'Rosemary Kennedy'@en	'sibling'@en	'Patricia Kennedy Lawford'@en
Q265595	P3373	Q505178	'Rosemary Kennedy'@en	'sibling'@en	'Joseph P. Kennedy Jr.'@en
Q265595	P3373	Q9696	'Rosemary Kennedy'@en	'sibling'@en	'John F. Kennedy'@en
Q2685	P22	Q3288486	'Arnold Schwarzenegger'@en	'father'@en	'Gustav Schwarzenegger'@en
Q2685	P25	Q23800370	'Arnold Schwarzenegger'@en	'mother'@en	'Aurelia Schwarzenegger'@en
Q2685	P26	Q230654	'Arnold Schwarzenegger'@en	'spouse'@en	'Maria Shriver'@en
Q2685	P3373	Q38196234	'Arnold Schwarzenegger'@en	'sibling'@en	'Meinhard Schwarzenegger'@en
Q2685	P40	Q23800185	'Arnold Schwarzenegger'@en	'child'@en	'Joseph Baena'@en
Q2685	P40	Q28109921	'Arnold Schwarzenegger'@en	'child'@en	'Christina Schwarzenegger'@en
Q2685	P40	Q28109928	'Arnold Schwarzenegger'@en	'child'@en	'Christopher Schwarzenegger'@en
Q2685	P40	Q4521676	'Arnold Schwarzenegger'@en	'child'@en	'Katherine Schwarzenegger'@en
Q2685	P40	Q901541	'Arnold Schwarzenegger'@en	'child'@en	'Patrick Schwarzenegger'@en
Q2685	P451	Q75494768	'Arnold Schwarzenegger'@en	'unmarried partner'@en	'Mildred Patricia Baena'@en
Q268799	P22	Q313696	'Kathleen Cavendish, Marchioness of Hartington'@en	'father'@en	'Joseph P. Kennedy Sr.'@en
Q268799	P25	Q236540	'Kathleen Cavendish, Marchioness of Hartington'@en	'mother'@en	'Rose Kennedy'@en
Q268799	P3373	Q134549	'Kathleen Cavendish, Marchioness of Hartington'@en	'sibling'@en	'Ted Kennedy'@en
Q268799	P3373	Q25310	'Kathleen Cavendish, Marchioness of Hartington'@en	'sibling'@en	'Robert F. Kennedy'@en
Q268799	P3373	Q265595	'Kathleen Cavendish, Marchioness of Hartington'@en	'sibling'@en	'Rosemary Kennedy'@en
Q268799	P3373	Q272401	'Kathleen Cavendish, Marchioness of Hartington'@en	'sibling'@en	'Jean Kennedy Smith'@en
Q268799	P3373	Q272908	'Kathleen Cavendish, Marchioness of Hartington'@en	'sibling'@en	'Eunice Kennedy Shriver'@en
Q268799	P3373	Q432694	'Kathleen Cavendish, Marchioness of Hartington'@en	'sibling'@en	'Patricia Kennedy Lawford'@en
Q268799	P3373	Q505178	'Kathleen Cavendish, Marchioness of Hartington'@en	'sibling'@en	'Joseph P. Kennedy Jr.'@en
Q268799	P3373	Q9696	'Kathleen Cavendish, Marchioness of Hartington'@en	'sibling'@en	'John F. Kennedy'@en
Q272401	P22	Q313696	'Jean Kennedy Smith'@en	'father'@en	'Joseph P. Kennedy Sr.'@en
Q272401	P25	Q236540	'Jean Kennedy Smith'@en	'mother'@en	'Rose Kennedy'@en
Q272401	P3373	Q134549	'Jean Kennedy Smith'@en	'sibling'@en	'Ted Kennedy'@en
Q272401	P3373	Q25310	'Jean Kennedy Smith'@en	'sibling'@en	'Robert F. Kennedy'@en
Q272401	P3373	Q265595	'Jean Kennedy Smith'@en	'sibling'@en	'Rosemary Kennedy'@en
Q272401	P3373	Q268799	'Jean Kennedy Smith'@en	'sibling'@en	'Kathleen Cavendish, Marchioness of Hartington'@en
Q272401	P3373	Q272908	'Jean Kennedy Smith'@en	'sibling'@en	'Eunice Kennedy Shriver'@en
Q272401	P3373	Q432694	'Jean Kennedy Smith'@en	'sibling'@en	'Patricia Kennedy Lawford'@en
Q272401	P3373	Q505178	'Jean Kennedy Smith'@en	'sibling'@en	'Joseph P. Kennedy Jr.'@en
Q272401	P3373	Q9696	'Jean Kennedy Smith'@en	'sibling'@en	'John F. Kennedy'@en
Q272908	P22	Q313696	'Eunice Kennedy Shriver'@en	'father'@en	'Joseph P. Kennedy Sr.'@en
Q272908	P25	Q236540	'Eunice Kennedy Shriver'@en	'mother'@en	'Rose Kennedy'@en
Q272908	P26	Q317248	'Eunice Kennedy Shriver'@en	'spouse'@en	'Sargent Shriver'@en
Q272908	P3373	Q134549	'Eunice Kennedy Shriver'@en	'sibling'@en	'Ted Kennedy'@en
Q272908	P3373	Q25310	'Eunice Kennedy Shriver'@en	'sibling'@en	'Robert F. Kennedy'@en
Q272908	P3373	Q265595	'Eunice Kennedy Shriver'@en	'sibling'@en	'Rosemary Kennedy'@en
Q272908	P3373	Q268799	'Eunice Kennedy Shriver'@en	'sibling'@en	'Kathleen Cavendish, Marchioness of Hartington'@en
Q272908	P3373	Q272401	'Eunice Kennedy Shriver'@en	'sibling'@en	'Jean Kennedy Smith'@en
Q272908	P3373	Q432694	'Eunice Kennedy Shriver'@en	'sibling'@en	'Patricia Kennedy Lawford'@en
Q272908	P3373	Q505178	'Eunice Kennedy Shriver'@en	'sibling'@en	'Joseph P. Kennedy Jr.'@en
Q272908	P3373	Q9696	'Eunice Kennedy Shriver'@en	'sibling'@en	'John F. Kennedy'@en
Q272908	P40	Q230654	'Eunice Kennedy Shriver'@en	'child'@en	'Maria Shriver'@en
Q272908	P40	Q3436301	'Eunice Kennedy Shriver'@en	'child'@en	'Bobby Shriver'@en
Q272908	P40	Q3529079	'Eunice Kennedy Shriver'@en	'child'@en	'Timothy Shriver'@en
Q272908	P40	Q4773467	'Eunice Kennedy Shriver'@en	'child'@en	'Anthony Shriver'@en
Q272908	P40	Q6769708	'Eunice Kennedy Shriver'@en	'child'@en	'Mark Shriver'@en
Q273833	P22	Q25310	'Rory Kennedy'@en	'father'@en	'Robert F. Kennedy'@en
Q273833	P25	Q258661	'Rory Kennedy'@en	'mother'@en	'Ethel Skakel Kennedy'@en
Q273833	P3373	Q1352872	'Rory Kennedy'@en	'sibling'@en	'Robert F. Kennedy Jr.'@en
Q273833	P3373	Q1386420	'Rory Kennedy'@en	'sibling'@en	'Joseph P. Kennedy II'@en
Q273833	P3373	Q1804720	'Rory Kennedy'@en	'sibling'@en	'Michael LeMoyne Kennedy'@en
Q273833	P3373	Q1975383	'Rory Kennedy'@en	'sibling'@en	'David A. Kennedy'@en
Q273833	P3373	Q467861	'Rory Kennedy'@en	'sibling'@en	'Kathleen Kennedy Townsend'@en
Q273833	P3373	Q467912	'Rory Kennedy'@en	'sibling'@en	'Kerry Kennedy'@en
Q273833	P3373	Q5112377	'Rory Kennedy'@en	'sibling'@en	'Christopher G. Kennedy'@en
Q273833	P3373	Q5178632	'Rory Kennedy'@en	'sibling'@en	'Courtney Kennedy Hill'@en
Q273833	P3373	Q5301573	'Rory Kennedy'@en	'sibling'@en	'Douglas Harriman Kennedy'@en
Q273833	P3373	Q6794923	'Rory Kennedy'@en	'sibling'@en	'Max Kennedy'@en
Q28109921	P22	Q2685	'Christina Schwarzenegger'@en	'father'@en	'Arnold Schwarzenegger'@en
Q28109921	P25	Q230654	'Christina Schwarzenegger'@en	'mother'@en	'Maria Shriver'@en
Q28109921	P3373	Q28109928	'Christina Schwarzenegger'@en	'sibling'@en	'Christopher Schwarzenegger'@en
Q28109921	P3373	Q4521676	'Christina Schwarzenegger'@en	'sibling'@en	'Katherine Schwarzenegger'@en
Q28109921	P3373	Q901541	'Christina Schwarzenegger'@en	'sibling'@en	'Patrick Schwarzenegger'@en
Q28109928	P22	Q2685	'Christopher Schwarzenegger'@en	'father'@en	'Arnold Schwarzenegger'@en
Q28109928	P25	Q230654	'Christopher Schwarzenegger'@en	'mother'@en	'Maria Shriver'@en
Q28109928	P3373	Q28109921	'Christopher Schwarzenegger'@en	'sibling'@en	'Christina Schwarzenegger'@en
Q28109928	P3373	Q4521676	'Christopher Schwarzenegger'@en	'sibling'@en	'Katherine Schwarzenegger'@en
Q28109928	P3373	Q901541	'Christopher Schwarzenegger'@en	'sibling'@en	'Patrick Schwarzenegger'@en
Q3048622	P22	Q134549	'Edward M. Kennedy Jr.'@en	'father'@en	'Ted Kennedy'@en
Q3048622	P25	Q441424	'Edward M. Kennedy Jr.'@en	'mother'@en	'Joan Bennett Kennedy'@en
Q3048622	P3373	Q2383370	'Edward M. Kennedy Jr.'@en	'sibling'@en	'Kara Kennedy'@en
Q3048622	P3373	Q948920	'Edward M. Kennedy Jr.'@en	'sibling'@en	'Patrick J. Kennedy'@en
Q313696	P26	Q236540	'Joseph P. Kennedy Sr.'@en	'spouse'@en	'Rose Kennedy'@en
Q313696	P40	Q134549	'Joseph P. Kennedy Sr.'@en	'child'@en	'Ted Kennedy'@en
Q313696	P40	Q25310	'Joseph P. Kennedy Sr.'@en	'child'@en	'Robert F. Kennedy'@en
Q313696	P40	Q265595	'Joseph P. Kennedy Sr.'@en	'child'@en	'Rosemary Kennedy'@en
Q313696	P40	Q268799	'Joseph P. Kennedy Sr.'@en	'child'@en	'Kathleen Cavendish, Marchioness of Hartington'@en
Q313696	P40	Q272401	'Joseph P. Kennedy Sr.'@en	'child'@en	'Jean Kennedy Smith'@en
Q313696	P40	Q272908	'Joseph P. Kennedy Sr.'@en	'child'@en	'Eunice Kennedy Shriver'@en
Q313696	P40	Q432694	'Joseph P. Kennedy Sr.'@en	'child'@en	'Patricia Kennedy Lawford'@en
